country_or_region,year,emissions_intensity_gco2_per_kwh
Costa Rica,2000,30.61
Costa Rica,2001,34.78
Costa Rica,2002,36.39
Costa Rica,2003,39.73
Costa Rica,2004,31.33
Costa Rica,2005,47.62
Costa Rica,2006,67.29
Costa Rica,2007,77.95
Costa Rica,2008,72.34
Costa Rica,2009,58.44
Costa Rica,2010,69.4
Costa Rica,2011,84.1
Costa Rica,2012,80.12
Costa Rica,2013,103.04
Costa Rica,2014,93.41
Costa Rica,2015,33.43
Costa Rica,2016,38.67
Costa Rica,2017,28.37
Costa Rica,2018,34.97
Costa Rica,2019,31.5
Costa Rica,2020,27.28
Costa Rica,2021,26.13
Costa Rica,2022,26.46
Cuba,2000,630.74
Cuba,2001,632.03
Cuba,2002,630.98
Cuba,2003,637.57
Cuba,2004,637.47
Cuba,2005,648.86
Cuba,2006,650.27
Cuba,2007,650.2
Cuba,2008,645.93
Cuba,2009,645.8
Cuba,2010,648.85
Cuba,2011,648.45
Cuba,2012,645.69
Cuba,2013,639.48
Cuba,2014,643.34
Cuba,2015,643.94
Cuba,2016,643.31
Cuba,2017,645.6
Cuba,2018,645.87
Cuba,2019,640.44
Cuba,2020,638.32
Cuba,2021,637.38
Cuba,2022,637.61
