Country,Year,Type 1,Generated_TWH,Type 2,Generated_TWH
Cuba,2000,Fossil,14,Clean,1.03
Cuba,2001,Fossil,14.3,Clean,1
Cuba,2002,Fossil,14.65,Clean,1.04
Cuba,2003,Fossil,14.96,Clean,0.85
Cuba,2004,Fossil,14.76,Clean,0.88
Cuba,2005,Fossil,14.86,Clean,0.49
Cuba,2006,Fossil,15.97,Clean,0.5
Cuba,2007,Fossil,17.08,Clean,0.53
Cuba,2008,Fossil,16.98,Clean,0.7
Cuba,2009,Fossil,17.04,Clean,0.69
Cuba,2010,Fossil,16.83,Clean,0.57
Cuba,2011,Fossil,17.18,Clean,0.57
Cuba,2012,Fossil,17.74,Clean,0.69
Cuba,2013,Fossil,18.31,Clean,0.94
Cuba,2014,Fossil,18.58,Clean,0.85
Cuba,2015,Fossil,19.49,Clean,0.9
Cuba,2016,Fossil,19.64,Clean,0.91
Cuba,2017,Fossil,19.77,Clean,0.8
Cuba,2018,Fossil,20.08,Clean,0.76
Cuba,2019,Fossil,19.81,Clean,0.91
Cuba,2020,Fossil,18.13,Clean,0.92
Cuba,2021,Fossil,17.04,Clean,0.83
Cuba,2022,Fossil,17.39,Clean,0.85
